attempt_id;experiment_mode;distance_m;button_label;plug_label;button_time;plug_time;latency_ms;status
crossbinding_5m_001;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:14:52.886000;2026-02-19 13:14:52.895000;9;SUCCESS
crossbinding_5m_002;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:14:56.587000;2026-02-19 13:14:56.600000;13;SUCCESS
crossbinding_5m_003;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:00.859000;2026-02-19 13:15:00.865000;6;SUCCESS
crossbinding_5m_004;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:04.997000;2026-02-19 13:15:05.006000;9;SUCCESS
crossbinding_5m_005;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:08.935000;2026-02-19 13:15:08.950000;15;SUCCESS
crossbinding_5m_006;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:13.038000;2026-02-19 13:15:13.046000;8;SUCCESS
crossbinding_5m_007;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:17.010000;2026-02-19 13:15:17.020000;10;SUCCESS
crossbinding_5m_008;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:20.728000;2026-02-19 13:15:20.737000;9;SUCCESS
crossbinding_5m_009;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:24.650000;2026-02-19 13:15:24.658000;8;SUCCESS
crossbinding_5m_010;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:28.465000;2026-02-19 13:15:28.475000;10;SUCCESS
crossbinding_5m_011;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:32.288000;2026-02-19 13:15:32.297000;9;SUCCESS
crossbinding_5m_012;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:36.278000;2026-02-19 13:15:36.287000;9;SUCCESS
crossbinding_5m_013;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:40.091000;2026-02-19 13:15:40.102000;11;SUCCESS
crossbinding_5m_014;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:43.998000;2026-02-19 13:15:44.006000;8;SUCCESS
crossbinding_5m_015;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:48.253000;2026-02-19 13:15:48.267000;14;SUCCESS
crossbinding_5m_016;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:52.118000;2026-02-19 13:15:52.125000;7;SUCCESS
crossbinding_5m_017;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:15:56.179000;2026-02-19 13:15:56.185000;6;SUCCESS
crossbinding_5m_018;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:00.206000;2026-02-19 13:16:00.219000;13;SUCCESS
crossbinding_5m_019;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:04.088000;2026-02-19 13:16:04.097000;9;SUCCESS
crossbinding_5m_020;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:07.738000;2026-02-19 13:16:07.749000;11;SUCCESS
crossbinding_5m_021;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:11.511000;2026-02-19 13:16:11.523000;12;SUCCESS
crossbinding_5m_022;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:15.338000;2026-02-19 13:16:15.347000;9;SUCCESS
crossbinding_5m_023;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:18.985000;2026-02-19 13:16:19.001000;16;SUCCESS
crossbinding_5m_024;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:22.879000;2026-02-19 13:16:22.886000;7;SUCCESS
crossbinding_5m_025;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:26.569000;2026-02-19 13:16:26.577000;8;SUCCESS
crossbinding_5m_026;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:30.728000;2026-02-19 13:16:30.739000;11;SUCCESS
crossbinding_5m_027;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:34.778000;2026-02-19 13:16:34.786000;8;SUCCESS
crossbinding_5m_028;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:39.082000;2026-02-19 13:16:39.089000;7;SUCCESS
crossbinding_5m_029;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:43.189000;2026-02-19 13:16:43.198000;9;SUCCESS
crossbinding_5m_030;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:52.298000;2026-02-19 13:16:52.305000;7;SUCCESS
crossbinding_5m_031;crossbinding;5;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-19 13:16:55.880000;2026-02-19 13:16:55.888000;8;SUCCESS
