attempt_id;experiment_mode;distance_m;button_label;plug_label;button_time;plug_time;latency_ms;status
crossbinding_10m_001;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:42:44.808000;2026-02-19 13:42:44.815000;7;SUCCESS
crossbinding_10m_002;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:42:49.209000;2026-02-19 13:42:49.222000;13;SUCCESS
crossbinding_10m_003;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:42:53.396000;2026-02-19 13:42:53.403000;7;SUCCESS
crossbinding_10m_004;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:42:57.185000;2026-02-19 13:42:57.190000;5;SUCCESS
crossbinding_10m_005;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:00.836000;2026-02-19 13:43:00.849000;13;SUCCESS
crossbinding_10m_006;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:04.773000;2026-02-19 13:43:04.781000;8;SUCCESS
crossbinding_10m_007;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:08.616000;2026-02-19 13:43:08.622000;6;SUCCESS
crossbinding_10m_008;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:12.935000;2026-02-19 13:43:12.944000;9;SUCCESS
crossbinding_10m_009;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:16.892000;2026-02-19 13:43:16.899000;7;SUCCESS
crossbinding_10m_010;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:20.638000;2026-02-19 13:43:20.650000;12;SUCCESS
crossbinding_10m_011;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:24.740000;2026-02-19 13:43:24.747000;7;SUCCESS
crossbinding_10m_012;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:28.480000;2026-02-19 13:43:28.485000;5;SUCCESS
crossbinding_10m_013;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:32.439000;2026-02-19 13:43:32.447000;8;SUCCESS
crossbinding_10m_014;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:36.603000;2026-02-19 13:43:36.610000;7;SUCCESS
crossbinding_10m_015;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:40.477000;2026-02-19 13:43:40.483000;6;SUCCESS
crossbinding_10m_016;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:44.283000;2026-02-19 13:43:44.295000;12;SUCCESS
crossbinding_10m_017;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:47.760000;2026-02-19 13:43:47.765000;5;SUCCESS
crossbinding_10m_018;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:51.423000;2026-02-19 13:43:51.433000;10;SUCCESS
crossbinding_10m_019;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:54.758000;2026-02-19 13:43:54.764000;6;SUCCESS
crossbinding_10m_020;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:43:58.255000;2026-02-19 13:43:58.265000;10;SUCCESS
crossbinding_10m_021;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:01.927000;2026-02-19 13:44:01.931000;4;SUCCESS
crossbinding_10m_022;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:05.367000;2026-02-19 13:44:05.380000;13;SUCCESS
crossbinding_10m_023;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:08.568000;2026-02-19 13:44:08.573000;5;SUCCESS
crossbinding_10m_024;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:11.880000;2026-02-19 13:44:11.888000;8;SUCCESS
crossbinding_10m_025;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:15.075000;2026-02-19 13:44:15.080000;5;SUCCESS
crossbinding_10m_026;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:18.393000;2026-02-19 13:44:18.403000;10;SUCCESS
crossbinding_10m_027;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:20.919000;2026-02-19 13:44:20.932000;13;SUCCESS
crossbinding_10m_028;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:24.274000;2026-02-19 13:44:24.280000;6;SUCCESS
crossbinding_10m_029;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:27.613000;2026-02-19 13:44:27.622000;9;SUCCESS
crossbinding_10m_030;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 13:44:32.328000;2026-02-19 13:44:32.336000;8;SUCCESS
crossbinding_10m_031;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 14:03:15.202000;2026-02-19 14:03:15.206000;4;SUCCESS
crossbinding_10m_032;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-19 14:03:21.106000;2026-02-19 14:03:21.115000;9;SUCCESS
